delay_time,region,mi_max,p-value
1.0,EC,0.827274599475953,0.0
0.65,EC,0.16808299296454424,0.004
0.35,EC,0.18040773659134682,0.013
-0.1,CA1,0.4858519185216087,0.007
-0.9,EC,0.5171486541280003,0.0
0.75,EC,0.9308821841142624,0.004
1.0,EC,0.22276037831245726,0.008
0.75,EC,0.6253461799530606,0.049
-1.0,EC,0.8869632245311428,0.0
0.6,EC,3.1166352319032913,0.0
0.5,EC,0.20449687924547946,0.004
0.3,EC,0.3182126998436688,0.0
-1.0,EC,1.2747135404749834,0.0
-0.2,EC,0.5614735672529806,0.009
-0.4,CA1,0.5971251727283271,0.016
0.6,EC,0.6409946923949248,0.021
0.95,EC,0.22775978106679423,0.001
-0.25,EC,3.012556189170325,0.03
0.5,EC,1.0339895521148519,0.02
-0.35,EC,0.24683028264783274,0.03
-1.0,EC,2.6465062249386477,0.03
-0.15,CA1,2.0953252922015273,0.016
0.85,EC,0.6976005820915432,0.02
0.3,EC,1.0785745362194117,0.024
0.25,CA1,0.378088935616554,0.045
-1.0,CA1,0.7315469279333245,0.012
-0.4,EC,2.2048938881127027,0.01
1.0,CA1,0.3799301415458247,0.046
0.15,EC,0.6508614265284267,0.017
0.8,EC,0.3185684941351076,0.046
0.85,EC,0.8465324885040775,0.0
0.35,EC,1.4702871995734803,0.003
0.95,EC,0.4191980382676828,0.0
0.75,EC,0.3813472484790945,0.049
0.1,CA1,0.4514036406482598,0.0
-0.65,EC,0.7342730433036684,0.0
0.05,CA1,0.11219029504872535,0.033
-1.0,CA1,0.15182124772493555,0.011
-0.6,EC,1.6112216331790659,0.019
-0.45,CA1,0.9417033220398092,0.029
0.45,EC,0.1780137935184032,0.005
-1.0,CA1,0.34581595508338114,0.001
0.8,CA1,1.313422905829008,0.037
0.95,EC,1.0380146653844593,0.0
0.35,EC,2.5842986649853694,0.013
0.8,EC,0.6001075671212213,0.019
-0.5,CA1,0.6024950031164784,0.013
-1.0,CA1,0.7857443215136304,0.017
-0.05,CA1,0.2765648511646268,0.043
-1.0,CA1,0.3272660130391063,0.035
1.0,CA1,0.4816735730554104,0.0
0.75,CA1,0.6168967754147261,0.029
-1.0,CA1,0.5731026718064567,0.0
0.95,CA1,0.5928560768185958,0.0
-0.5,CA1,0.5182234726107072,0.003
0.45,CA1,0.27101628876890704,0.0
-0.55,CA1,1.2318862301011073,0.019
